OperatorName,Address.City,Address.PostalCode,Address.Street,Address.HouseNum,lat,lon,charger_count
Elektrizitätswerk der Stadt Zürich,Surses,7457,Julierstrasse 5,,46.470134,9.65024,4
Elektrizitätswerk der Stadt Zürich,Untervaz,7204,Laurenziusweg 2,,46.929578,9.538018,4
Elektrizitätswerk der Stadt Zürich,Zürich,8038,Mythenquai 320,,47.34881443,8.53401239,4
Elektrizitätswerk der Stadt Zürich,Zürich,8050,Thurgauerstrasse 40,,47.414871,8.552583,4
Elektrizitätswerk der Stadt Zürich,Bregaglia,7516,Strada Cantonale 322,,46.40036,9.695745,3
Elektrizitätswerk der Stadt Zürich,Bregaglia,7603,Strada Principale 107,,46.350399,9.619649,3
Elektrizitätswerk der Stadt Zürich,Bregaglia,7605,Strada Principale 109,,46.343742,9.592138,3
Elektrizitätswerk der Stadt Zürich,Bregaglia,7608,Strada Principale,,46.333096,9.515692,3
Elektrizitätswerk der Stadt Zürich,Zürich,8001,Hirschengraben 11,,47.371296,8.546901,3
Elektrizitätswerk der Stadt Zürich,Zürich,8001,Uraniastrasse 2a,,47.3745288,8.54063318,3
Elektrizitätswerk der Stadt Zürich,Zürich,8002,Allmendstrasse 13,,47.351803,8.525575,3
Elektrizitätswerk der Stadt Zürich,Zürich,8004,Seebahnstrasse 171,,47.37580478,8.51825031,3
Elektrizitätswerk der Stadt Zürich,Zürich,8005,Sihlquai 344,,47.39093612,8.52322911,3
Elektrizitätswerk der Stadt Zürich,Zürich,8006,Huttenstrasse 63,,47.37928553,8.55252622,3
Elektrizitätswerk der Stadt Zürich,Zürich,8032,Forchstrasse 95,,47.36233144,8.56032906,3
Elektrizitätswerk der Stadt Zürich,Zürich,8044,Klosterweg 34,,47.38678,8.575659,3
Elektrizitätswerk der Stadt Zürich,Zürich,8046,Wehntalerstrasse,,47.42034321,8.50363698,3
Elektrizitätswerk der Stadt Zürich,Zürich,8049,Am Wasser 55,,47.395588,8.505331,3
Elektrizitätswerk der Stadt Zürich,Zürich,8049,Limmattalstrasse 19a,,47.396347,8.511989,3
Elektrizitätswerk der Stadt Zürich,Zürich,8049,Singlistrasse 2,,47.403554,8.496149,3
Elektrizitätswerk der Stadt Zürich,Zürich,8050,Hagenholzstrasse 110,,47.41541,8.56333034,3
Elektrizitätswerk der Stadt Zürich,Zürich,8050,Tramstrasse 35,,47.408936,8.549044,3
Elektrizitätswerk der Stadt Zürich,Zürich,8051,Bocklerstrasse 10,,47.403572,8.57032,3
Elektrizitätswerk der Stadt Zürich,Zürich,8053,Witikonerstrasse 390,,47.359364,8.593211,3
